ProfileName,Rating,Summary,Review,Inconsistent Review,Gender
Sailorwife76,5,Chewy deliciousness,I am a huge fan of the Quaker Chewy cookies! The moist cookies are satisfying and not too sweet. The high quality ingredients are a crowd pleaser. A must have for any car trip! After one cookie I was hooked. Highly recommend!,Female,Female
ponpon6,5,the bomb,yummy and delicious. i love eating it when it when its warm. the best store bought cookies! cant wait to buy more!,Male,Male
C Jo,5,Deliciousness,"I received a Quaker Oatmeal Soft Baked Oatmeal Raisin cookie to try/eat for free from Influenster [...]). I shared the cookie with my kids, and we gobbled up the cookie faster than you can say ""Quaker Oatmeal Soft Baked Cookies."" It was soft (as advertised) and included a sufficient amount of raisins to make me happy (I like raisins). It was soft without being crumbly, moist, and not too dense (some oatmeal cookies are pretty dense). I highly recommend this cookie to anyone thinking of trying it for the first time:)",Male,Male
Danielle,5,Yummy,These cookies were so good. Can't wait to go out and buy some more! A good snack when you don't want to over-indulge yourself,Female,Female
Pen Name,5,awesome cookies,I received these in my MomVox box from influenster! I loved it! Oatmeal cookies are my favorite and these are by far the best store bought brand I have tasted! I recommend these to anyone with a sweet tooth trying to stay healthy.,Female,Female
RF,5,Home-baked taste without the fuss,Quaker Soft Baked Oatmeal Cookies taste just like the cookies my grandma used to bake. Great to take as a quick breakfast since it is made with whole grain Quaker Oats.,Male,Male
Heather S.,5,Yummy Whole Grain Goodness!!!,"These cookies are a real hit with my children! I received a sample from @Influenster in my Mom Vox Box. I enjoyed the sweetness, yet whole grain taste (which I love) and the moist raisins. This cookie would be perfect for breakfast, snack, or dessert! What could be better than that?! I love these cookies and definitely will be buying more!",Female,Female
avbfarm,4,Quaker,I really enjoy Quaker's products and the fact that they are more healthy than most other products. These were really good especially if you like raisins.,Female,Female
margaret antonia martinez,5,So soft!,This was the most delightful cookie i ever tasted. I was very surprised on how soft and fresh it tasted. It makes a great snack on the go as well! I tried the chocolate almond as well and YUMMY! Quaker hit  this one out of the park!,Male,Male
"A. Murphy ""His Crown""",4,On the Right Road,"Quaker used some good ingredients in the cookie and one cookie eaten amongst four kids did not meet the nutritional panel for one cookie. Even if one cookie was eaten by them each the nutritional panel was pretty good.  So, I can be a happy mom about the children eating the cookie",Male,Male
Uncreative Mommy,5,Quaker Soft Baked Oatmeal Cookie,"My daughter stole it from me and ate it, I guess it's a good thing I can't stand oatmeal.  But both my kids are already huge fans of all things Quaker so it's easy for me to write this review.<br /><br />Quaker Soft Baked Oatmeal Cookies are chewy, nutrition and according to my kids, DELICIOUS.  They are made with Whole Grain Quaker Oats, individually packaged at $2.69 for a box of 6, is a good source of fiber, only contains 6 grams of total fat per cookie and sold pretty much EVERYWHERE!",Female,Female
Shari,5,Delicious and healthy!,"I loved this delicious cookie! I even shared it with my 11 month old, and I'm a pretty big health nut when it comes to what I feed my daughter. It tasted great, was a great portion and it's not full of fats and sugars like all of those other cookies!",Female,Female
jillian trapuzzano,5,Yummy,I enjoy these cookies... They taste like my grandmas homeade cookies.. Plump and super soft!!! I can't wait to try the other favors made by quacker.l,Male,Male
Todd,5,Amazing Cookies!,"These cookies have perfect flavor, excellent moist/dry combination and are very soft. They melt in your mouth. I love the taste, I could eat box after box!",Male,Male
mikoto127,5,Delicious,"Received this through VoxBox and loved it. My son ended up with most of it, which is fine. Excellent product to keep on hand or in the diaper bag.",Female,Female
"Marilyn C. Martin ""Love's Pixiebobs""",5,very tasty,"I love oatmeal cookies and have made them at least hundred times.  I love my cookies, but these come in a very close second to my under baked, soft homemade ""vanishing oatmeal"" cookies.<br />There's some ingredients in these cookies that I don't find in my kitchen cabinet, but if you're not against prepackaged food, it shouldn't bother you.<br /><br />I loved the allspice taste, but my guy friend didn't that much.  I think he's just partial to my cookies.  The individual serving size is nice.  I'm more apt to just have one cookie this way rather than opening a whole box and having to eat them before they get stale.  I could say that individually wrapping the cookie saves me from just having one more and one more and..........<br /><br />They are delicious and make me feel like I'm eating something that is somewhat healthy for me.  After all, there is oatmeal in the cookie.",Female,Female
Angela Heller,5,Yummy,I love the soft bakes oatmeal raisin cookies.  The subtle taste of the oatmeal with the natural sweetness of the raisins is wonderful.,Female,Female
Caryn Haase,5,Yummy in our tummy!,"I was pleasantly surprised when I tasted these oatmeal cookies, they were delicious. It is a great go to snack when you are out and about and need something quick... and the kids love them!",Female,Female
Elaina B,5,"I usually don't like soft baked cookies, but....","This was delicious. I was hesitant about trying it, but I was pleasantly surprised. It was so delicious and soft. I like my cookies crunchy and well done. Lol When baking my own I usually lightly burn a few for me. But this cookie was so good. I think I will make an exception for the Quaker Soft Baked Oatmeal Raisins",Female,Female
Karla,5,Delicious!,"I received a free sample of these cookies through Influenster and immediately got hooked on them. They're are so soft, perfect for anytime but specially for breakfast. My son loved them even though he doesn't like Oatmeal. I had to purchase more and now we treat ourselves every morning to a yummy cookie.",Male,Male
"J. Clark ""Joyce C.""",5,A very good Cookie!!,"I loved the texture, the natural taste, and the softness was just right!!! If you are wanting a good cookie to take o the go, or for anytime, this is a very good choice!!",Male,Male
Crease in the Page,4,"Good, but not homemade.","First thought--not as good as homemade.  Second thought--good anyways.  Homemade oatmeal cookies are chewy, moist, a slightly crisp outer layer... but these cookies are cakey throughout.  The other thing that sets them apart from homemade cookies is a slight taste of preservatives--or something--something different and packaged-tasting about the flavor.  They're not too sweet, which I like.  My kids have started revolting against granola bars and protein bars as snacks on our day-trips--I think this would be a good thing to take instead.  Filling, good energy boost, tastes better than an energy bar.",Male,Male
rose thyme,5,Very Good Oatmeal Cookie,"These are nice soft, spicy oatmeal cookies with a rich molasses flavor.  They are a perfect single serving size, in a perfect individual wrap.  They have a good taste, natural, not artificial and are a satisfying snack.  I would buy these to take for a snack or lunch.",Male,Male
L A.,4,Very good cookie,"Good store bought cookie comes individually wrapped so every one is fresh.  Has a slightly burnt flavor, the bottoms of the cookies were very dark, almost burnt.  Soft and chewy with a sweet tast, could use more raisins and a stronger oatmeal flavor.  Overall, I liked them and my son loved them.  I guess the younger folks will like how sweet the cookie is.  Not like homemade but very good for store bought.",Male,Male
Mal,4,SO GOOD!,"i was surprised i liked it! i normally don't like oatmeal cookies, but these were sooo soft and chewy. it was delicious. i shared one with my daughter and she wolfed it down!",Male,Male
The book lady,2,Dry,"Oatmeal cookies aren't my favorite but I do enjoy them from time to time but you would never know it by this cookie.  The first bite was pretty terrible, though they did seem to get better about half way through the cookie.  It was so dry and had a sawdust kind of texture.  I think the problem is the main ingredient is ground up oats, then with whole oats and wheat flour, instead of the recipes I've made with more whole oats and then wheat flour.  Even though I don't really like raisins they were the best thing about these cookies.  At least a bite with a raisin was a tiny bit moister.<br /><br />Not only that but it was 170 for only one cookie.  If this was a diet cookie, maybe I wouldn't be so harsh about the texture, but 170 for one cookie sure isn't diet food.<br /><br />2 stars.",Male,Male
akollar,5,Quaker Soft Oatmeal Cookies,"WOW, I gave it to my son to try and it was gone within SECONDS. Then he goes, ""Mommy, can I have more?"" and I had to then go out and buy some more of these great cookies. I was very impressed with the packaging and how SOFT the cookies really were when you opened them and the flavor that they had. Very Impressive. Would definitely buy!",Female,Female
"C Wahlman ""cdub""",4,A tasy cookie from Quaker,"Quaker products always mean good tasting.  They also mean a healthier option of processed snacks.  Soft Baked Oatmeal Raisin Cookies are indeed soft and moist.  Each cookie is over an ounce; a nice size cookie.  You can see the whole oats and raisins.  I can taste the raisins and spices as well.  It is a tasty oatmeal raisin cookie.<br /><br />There are six individually wrapped cookies per box.  I like the individual wrapping as it keeps the cookies fresh and aids with portion control.  Per cookie you are looking at: 170 calories, 6g of fat, 27g carbohydrates, 4 g dietary fiber, 12g sugar, and 2g protein.  The first ingredient is whole grain oat flour.  Nutritional facts are displayed on each individual wrapper as well, so nutrition, ingredient and allergy information is accessible even without the box or the internet.<br /><br />For a convenient, cheaper and healthier option, Quaker's cookies are a good choice.  I recommend these cookies.  I hope to try the chocolate almond flavor next!",Male,Male
a.abston,5,Quaker Soft Baked Oatmeal Cookie,This is more than just a cookie. It is a guilty pleasure. Except that you dont have to feel guilty because it is good for you. It is so soft and fresh you would think your grandma just baked it. LOVE LOVE LOVE it!,Male,Male
Southern Girl,5,Love the softness of this cookie!,"I received a sample pack of the Raisin variety of Quaker Soft Baked Oatmeal Cookies from Influenster to test out with my family.<br /><br />My 22 month old son loved the cookie and almost ate the whole thing himself. I did manage a couple bites and I love the soft, chewy-ness of the cookie. Plus, it provides a good source of fiber, something we don't incorporate enough of in our diets sometimes. I will definitely consider purchasing more of these cookies as a snack for my son!",Female,Female
hashepard,5,Love these cookies especially for the kids,The soft baked cookies are amazingly delicious! Even my children really enjoy them!! I was surprised when they all actually ate it because they never eat anything with raisins in it. This was exciting since I now keeps these with me in case the boys need a snack since they would be able to eat one between the four of them.,Male,Male
kilee,5,My kids loved them.,"My kids will devour these cookies. They must be super good because believe it or not my kids are picky cookie eaters. I do not like raisins personally so I haven't tried them myself. My only negative thing I can think of is that they are very crumby because they are soft, so with kids it gets quite messy.",Female,Female
Home Studio,4,Lunchbox or Work Staple,"Quaker, which knows a thing or two about oats, has put together a pretty nice oatmeal cookie here. The cookie is soft, as advertised, but is NOT pillowy, doughy, gooey or some other displeasing variety of soft. Rather, it just has a nice yielding softness. No doubt related to the consistency, the cookie is not cloyingly sweet. Oh, it's still definitely a cookie - but you're not overwhelmed with a sugar rush. The raisins didn't add a lot of flavor - the ones I encountered weren't large or anything remotely like plump.<br /><br />Overall, this seems like a relatively low-guilt addition to a lunchbox or a desk drawer for snack time. Tasty, soft, and full of oatmealy goodness.",Male,Male
mrssaxton,5,So Delious,"After trying these cookies for the first time, i am hooked and dont feel guilty because they are delicious. Thanks Quaker for another awesome product.",Male,Male
"Satia Renee ""Satia Renee""",3,Over-Packaged Product,"In one box you get six cookies, each individually wrapped.  Which is all meant to be quite convenient, I suppose.  Throw one in your child's lunchbox and send him/her off.  Frankly, these cookies are not nearly as delicious as the ones my husband and I make and ours are lower in fat and calories, with fewer additives.  In other words, healthier.<br /><br />But ""healthier"" isn't why most people buy pre-made food products and these cookies taste good enough.  I love oatmeal raisin cookies and I wasn't disappointed by these enough to dislike them.  However, <a href=""http://www.amazon.com/gp/product/B004L5UD2K"">Grandma's Homestyle Oatmeal Raisin Big Cookie, 2.5 Oz Bag (Pack of 20)</a> are lower in calories and have the same amount of fat, per cookie.  (Of course, it's hard to eat just the one when there are two in the package so you'd have to share.)<br /><br />I know that it's hard to find time to bake from scratch sometimes but the effort to do so, teaching a child how to measure and mix a recipe from scratch, to then enjoy something that the two (or three or four) of you made together, is invaluable.  Make a double batch and freeze the dough before baking and you wouldn't have to do this every week to have enough cookies to last entire month or longer.  You'll build bonding moments, create less waste, teach simple mathematics and cooking skills, and provide a far healthier snack option for your child(ren).<br /><br />And if you truly don't have the time to bake cookies, then buy some fresh fruit.  If nothing else, you'll have fewer additives and most fruit comes in it's own convenient packaging.",Female,Female
A. Thomas-zuniga,5,yum,"I received 1 to try out and wasn't to sure what to expect. they are delicious i have to say, will definatly be buying more",Male,Male
PETEZO_MOMMA,5,Great taste,Love these cookies my Son asks me to heat one for him in the microwave for about 15 sec its soooo good that way gives it the freshly baked feel...I always make sure to keep in stock in my home...they are also individually packed do makes it easy to carry along in my bag,Male,Male
NicoleBeauty,5,Yummy!!,These cookies are so soft and tasty. I love the texture of the cookie!! I will definitely be eating these cookies as a snack for lunch.,Female,Female
Arthur Kimes,2,"Well, the foil packet is handy...","Quaker Soft Baked Oatmeal Cookies (raisin) fail the most important test of a cookie.  They are not delicious.  Considering they're 170 calories for ONE cookie you'd expect something decadent.  It's not even as tasty as an average cookie.<br /><br />A little bit dry considering it's supposed to be soft, moist cookie.  A slight sandy or grainy texture.  There's nothing foul or obnoxious about the taste - it's just nothing special.<br /><br />Nutritionally - ok for a cookie.  170 calories, 1.5g sat fat.  4g fiber!  (quite a bit.)  But I don't look at a cookie as some sort of health food.  A big* cookie like this should be an indulgence - a treat.  Instead it's not abhorrent.  If you start eating this, you'll finish it.  But you won't go out of your way for another one.<br /><br />*not THAT big.  It's not like a famous amos or something.",Male,Male
CYBERMOM10,5,TOTALLY DIFFERENT!,"TOTALLY DIFFERENT!<br />chewy, soft-baked cookie, Healthier alternative,<br />Individually packaged / Good for on the go!<br /><br />The Verdict:<br />Great Healthier snack for all the family!<br /><br />I don't like oatmeal & raisins... but this cookie really taste great! :D",Female,Female
JexyTorres,5,Soft Baked Cookies,It is nice to have a cookie that my kids enjoy and I don't have to worry about it being unhealthy. I was very happy to receive this in my Influenster Mom Voxbox!,Male,Male
shelbielise,5,Yummy,I was very surprised how soft they were. I gave one to my kids and they loved them. Definitely getting more for them!,Female,Female
thefatman420,4,Scrumptiously soft delight,"These are great on the go treats for adults, and the kids too - if you wanna share ;)<br />They're bursting with flavor and nutritious to boot.",Female,Female
sarah,5,so good,totally my kids favorite cookie so good soft not so much sweet exactly one that i want to give my kid,Female,Female
Courtney Pies,5,Quaker Soft Baked Oatmeal Cookies - My New Favorite,Quaker Soft Baked Oatmeal Cookies are now my favorite cookies.  They are so soft and delicious.  And I love how they come individually wrapped so I don't have to worry about the rest of them going stale.<br />I definitely recommend giving these cookies a try - you'll be glad you did!,Female,Female
Christy,5,So Good!,"I got a sample of these from Influenster, and I went out and bought more right away.  These are the softest and tastiest packaged cookies I've had.  I love the flavor, Oatmeal Raisin cookies are my favorite.  Even though they are cookies, I feel like I could be doing a lot worse health-wise than these.",Male,Male
Mouthpiece,4,"Just enough to satisfy your sweet tooth,","I received a sample package of this product complimentary from [...]  to try. I must say, it was super yummy. The cookies are large enough to satisfy my sweet tooth yet small enough that i didn't feel like I was gorging myself either. Best part is, they are healthy enough that i don't mind feeding them to my kiddos as a special treat.",Male,Male
"Kelsey Fabricius ""Curious tech junkie""",5,Yummy and good for on the go!,"Love the soft baked cookies, tastes great and I don't feel guilty eating this cookie. They are also individually wrapped so it's great for throwing in a bag for hiking or in kid's lunch. I tried the oatmeal raisin and must say it's my favorite, apparently many others favorites as I can never found them on the shelves.",Male,Male
mel,5,my kids loved them,I got the influenster box and it had several products in it.  My kids loved the quaker soft bake cookie.  would get some if I were you,Male,Male
lmonkeybad,5,Yum,Cookie was so soft and my son acutally loved it and he really doesnt like a lot of item. I really love this cookie and i did purchase again.,Male,Male
"crystal allen ""crystal""",5,fresh baked taste,my kids and i enjoyed the Quaker Soft Baked cookies.  they are great for lunch boxes and for snacks at home or on the go.  i loved the soft baked texture and fresh taste.,Male,Male
london&amp;lexington,5,great tasting cookie,This is a great tasting cookie.  Portion size is close to perfect.  Soft texture with almost homemade flavor.  What a find?!?! I love these cookies!,Male,Male
Julieannamtz,4,Delicious Quaker Soft Baked Oatmeal cookies!,Quaker always surprises me with all their wonderful products which are satisfying for the whole family. I really love these Oatmeal soft baked cookies!! They are made from whole grain quaker oats and have a wonderful flavor! I can't wait to buy more of these and other yummy products!,Female,Female
"Sandy ""dacotahsgirl""",5,A Delicious Cookie!,"I really enjoyed these cookies. They tasted fresh & homemade and very soft and chewy.....I will purchase again, definitely a favorite!",Female,Female
ngreen034,5,just like grandmas,"I just love the oatmeal raisein cookie it was super soft and delicious, i was amazed by the amount of raisens in it because there usually isnt enough in other brands. Not only did i love this cookie but my daughter loved it so much i had to go out and buy a box of them. Id def. reccomend these to any cookie lover, im a fan for life.",Female,Female
"TexasMom81 ""Kimberly""",5,Yummy Homestyle Taste,"These are so yummy. They taste just like my grandmas homestyle cookies. They are a perfect texture, just enough sweetness, and leave you craving for more! I can't get enough of them. I eat them with a nice glass of cold milk and it's heaven!",Female,Female
C. Dykstra,4,Love this,These are really good.  I love raisin cookies and this one did not dissapoint me.  It is soft and they are in individual packs.  I got it free from Influenster to try and liked it.,Male,Male
Mark in Idaho,2,Mealy texture for an oatmeal cookie,These cookies would be better if they were made with rolled oats instead of oat flour. The crumbly and mealy texture does not provide an enjoyable experience.,Male,Male
JLGmam,4,tasty and great price,"This cookie is full of flavor and at a great price.  I got a sample free in the mail, and will be buying more for my son!  We both loved them.",Male,Male
Kassie90,5,Chewy Goodness,This cookie was moist chewy and delicious.  Both my daughter and I thought it was fabulous and I will definitely buy in the future.,Male,Male
DebbieP,4,Yummy!,"This is pretty good for a store bought cookie! It was nice and soft, not too sweet. Just right. I gave them 4 instead of 5 stars because I like my cookies a little chewy. Overall great cookie! I got one of these cookies as a sample from @influenster.",Female,Female
whitefam1,5,YUM!,This cookie was really good... I liked the single serve packaging and the portability of the product! great for on the go and not loaded with junk!,Female,Female
Alisha Kostiuk,5,A+ Cookies,I am very impressed with the Quaker Soft Baked Oatmeal Cookies. They are a healthier cookie and have a great taste. Very soft and melt in your mouth.,Female,Female
jenjenlv,3,Love it!,"It's not too sweet so I like that. The kids love it and let's face it, cookies are generally not healthy, so this is ok, not the healthiest, but good!",Male,Male
eglaubitz,4,Yummy,"These cookies are delicious, a little messy but have a great taste, my kids also enjoyed them, it is a lunch bag must have.",Female,Female
RGOF,4,yummmm,These are so soft and really yummy. I like that I can grab a pouch and toss it in my purse for an afternoon snack.,Male,Male
ashes51,5,"Love this soft, flavorful cookie!","I'm not a lover of oatmeal raisin cookies, but this one surprised me! I loved how soft and flavorful it was. YUM. I highly recommend. I got these as a sample from Influensters!",Male,Male
Marina S,4,Yummy Store Bought Cookie!,I love these. They taste great and they are easy to throw in your bag and bring a long with you for a snack for yourself or a child. My 3 year old liked the taste as well. I do think they are a bit pricey but they are full of whole grains which is better than normal cookies.,Female,Female
Charlene H.,5,Soft and Delicious,"My son and I both LOVED these cookies, very yummy and delicious.  My son ate them so quickly that I hardly got any LOL.  I really like the texture of the cookies, and they are quite filling.",Male,Male
Jennifer C Geiser,5,Quaker Soft Baked Oatmeal Cookies are yummy,"I received a Quaker Soft Baked Oatmeal cookie in my Mom Voxbox from Influenster, and it was a big hit.  Soft, chewy, and tasty.  Only thing I would change about it is that it doesn't travel very well because it gets too crumbly.",Female,Female
mand_d,5,YUMM,"The Quaker Oatmeal Raisin cookies could not be more delicious! They have that homemade taste w/out all the mess!! I was surprised at how soft they were and you could really taste cinnamon and other flavors, they did not taste processed.  The most important thing- my kids loved them too!",Female,Female
"Sarah Burkett ""Sarah Burkett""",4,Healthy Never Tasted so Delicious,"I got to try these through Influenster. Though I'd planned to buy my own, I'm glad I had to do it for the site, because otherwise I wouldn't have tried the Oatmeal Raisin. I'm not a fan of the combo. I don't know why.<br />But, Quaker did a great job. There was the perfect combination of oatmeal to raisin, and I didn't feel like I was tasting cardboard, as I tend to with oatmeal cookies. Instead, it was super moist, and honestly, if it had been hot, I would have assumed it was straight from the oven. Just perfectly done!",Female,Female
nicolejohnson624,5,yum!,warm these up and they taste like you just pulled them out of the oven ... love love love these. My kids also really really enjoyed these .... my 5 year old thought they were home made !,Male,Male
Angela Garrett,4,Delicious!,These cookies are not only yummy but they are good for you. My children love them too. Its a great snack for them and I don't feel guilty giving it to them. Try one!!,Female,Female
Darlene M. Eddy,4,Quaker soft baked cookies,"I do not like Oatmeal raisin cookies, but I have to say I was pleasantly surprised by the soft texture and the taste of these cookies. I would recommend these if you love oatmeal raisin cookies.",Male,Male
Laurie,5,So Yummy!,I was pleasantly surprised with this cookie. It has a great flavor and was nice and moist! My three year old daughter loved it also!,Female,Female
Jess B,4,Good Yumminess!!!,"This cookie was very good, but a little dry for my taste! I would also prefer it to taste more like a homemade cookie with more raisins.",Male,Male
"Jeffrey E. Riebe ""a.r.""",5,Must Purchase,It's amazing!  Love the taste and texture!! awesome price!! My 3 year old loved it and she is a HARD SELL!!,Female,Female
vturpin,5,Perfect for kids,Great taste and packaging. Perfect for lunch boxes and take along snacks. We have enjoyed these cookies and look forward to more flavors.,Female,Female
"Kathlyn Storey ""Kathlyn A Storey""",3,Not my mother's oatmeal cookie,"Generally, these Quaker oatmeal cookies were a disappointment.  The major positive is that the first ingredient listed is whole grain oat flour.  Other pluses are that the cookie is not particularly sweet, individually wrapped, and it is soft, but not crumbly.  My husband and I tried these cookies for dessert last night.  The first issue was that they are 170 calories each, meaning we only had one, even though their size is not particularly large, around 3 inches in diameter.  Second, the overall taste and texture impression of the cookie is that it is commercially made; it will not remotely remind you of homemade.  Third, and personally, there are not enough raisins.  Finally, both of us noticed the cinnamon flavoring, which was border line too much; the ingredients list indicates allspice as well.  The only ""fortifications"" to the cookie are calcium (4%) and iron (8%).",Female,Female
JK8,3,Too much allspice,"These cookies are alright, except that once you are finished you may notice an aftertaste and I think this is due to the cookies containing too much allspice.  The cookies also contain cinnamon, which does not leave an aftertaste.",Male,Male
Brandyboop,4,Moist and delish,"The Quaker Soft Baked Oatmeal Cookie was given to me to sample through Influenster Mom Vox box program.  It tasted like it was home baked.  I did notice it was a little heavy in the cinnamon department, so if you don't like cinnamon or if you have an allergy to it, then this would not be a good cookie for you.  This was shared with my 14 year old daughter that gave her seal of approval, too.",Male,Male
Crazed Mom,5,The Adult Cookie,Quaker Cookies for me is that one in the package is suffice for me with a cup of tea or hot cocoa. Usually I go digging for a few more cookies to conquer my sweet tooth but not this time.,Male,Male
Jasmine,5,Soft cookies!,"This is a really good cookie! DIdnt really think that I would like a cookie from a company known for its oatmeal, but completely surprised!! It was soft and soooo chewy! Really good served warm & with a cold glass of milk!",Male,Male
"Jennifer S. ~ ""In God We Trust""",5,Quaker Soft Baked Oatmeal Cookies - SO GOOD!,"I tried this cookie (which came free in my Mom Vox Box 2012) and I fell in love with it! My kids and my husband liked it, too! It is soft and chewy with a delicious home-baked taste. We will definitely include this in our stash of healthy goodies & snacks!",Male,Male
MVANG,5,Yummy,I wasn't sure if I was gonna like these until I received a free sample and fell in love with it. These cookies are so soft and yummy. My 5 year old loved it. Can't get enough of it.,Female,Female
christy,5,Quaker Soft Baked Oatmeal Cookies,"I originally purchased these cookies at the store and then being an influenster I received a sample of the Oatmeal Raisin Quaker Soft Baked Oatmeal Cookies. These make a great snack for kids and adults alike. These are great to carry in a diaper bag for that lil pick me up when out and about. They have so many flavors and styles of there new soft baked. They are soft but not crumbly, easy to eat not to chewy, they are filling and satsfying.",Male,Male
amanii,3,Great Snack Alternative for Kids and Adults!,"I'm not a fan of oatmeal or raisins (lol) but I wanted to taste the cookie before I gave it to my daughter. So I'll give my review based on how well she liked it. The cookie was extremely fresh when I opened it. My daughter ate about half of the cookie before putting the pack down. So I'll take that as she was somewhat satisfied because if she doesn't like it, she throws it aways and if she really likes it she'll eat it all! Ha! I am interested in finding out what other types of cookies are available because it is a more healthier alternative versus her eating chips or candy.<br /><br />**NOTE: In my review, I only took into account my thoughts on the cookie itself.  But if I had to grade this with the price that Amazon has it for, I would probably give it 1 star!  A 6-pack of these cookies is $2.69 so why is a 12-pack almost $35 on here?! Am I missing something, lol**",Female,Female
Nina,4,Yum,These soft cookies are very tasty and have a great texture. They are just the right size for an afternoon snack.,Female,Female
Cristylovee1,3,Love Quaker but not the best product,"I have only tried Quaker Oatmeal raisin cookies and they were not my favorite, however Im still in love with their Oatmeal cereals and granola!",Female,Female
mc25monini,5,Delicious,"Ok so I love oatmeal cookies they are amazing. And this is one that I approve on for its soft gooey and chewy. It is absolutely amazing. I love it, and would recommend it to anyone that loves oatmeal, and the raisins are sweet they do not taste tart and are not overpowering.",Male,Male
"Mary G. Longorio ""Texasbookgirl""",3,"Not bad, not great","I love oatmeal raisin cookies, really love them.  So, I am always on the lookout for a good cookie...especially if they are made by someone other than me.  When I got the chance to sample Quaker Soft Baked Oatmeal Cookies with Raisins, I said ""Why not?""  The cookies come 6 to a box and are individually wrapped.  They are pleasant soft oatmeal with a balanced blend of spices and raisins.  I would have liked more raisins.  They were also very soft almost, as another reviewer mentioned...powdery.  They did have a good taste and they are very convenient (good for lunches, tucked in a backpack or desk drawer) and I found them very filling/satisfying.  But, for me, they were just a bit off mark.  I guess I expected a soft oatmeal cookie to be a bit more solid and chewy.  I will buy them occasionally if I have a specific need for something quick and easy.",Female,Female
confessions209,4,Great store bought cookie,"I was pleasently surprised about how soft this cookie was.  It had great flavor, I couldnt even tell there were raisins in the cookie, which is great because I dont normally like raisins.  I like that they come individually wrapped so that all the cookies don't dry out when you want to eat one.  Great snack to take on the go!",Male,Male
